"D:\pro\Hand Gesture Detector\venv\Scripts\python.exe" "D:\pro\Hand Gesture Detector\main.py"
Epoch 1, Error: 0.9274240661938198
Epoch 2, Error: 0.8878052975196986
Epoch 3, Error: 0.8748422072068206
Epoch 4, Error: 0.8520652690061478
Epoch 5, Error: 0.8103584612580251
Epoch 6, Error: 0.7506816505077034
Epoch 7, Error: 0.6943722607664295
Epoch 8, Error: 0.6479741194440165
Epoch 9, Error: 0.6068262119483647
Epoch 10, Error: 0.5688613687261236
Epoch 11, Error: 0.5336466167400601
Epoch 12, Error: 0.5007407315901719
Epoch 13, Error: 0.4696538165753255
Epoch 14, Error: 0.4398408386046823
Epoch 15, Error: 0.4108331508134119
Epoch 16, Error: 0.3826218899556365
Epoch 17, Error: 0.35568821404099515
Epoch 18, Error: 0.33049900507312735
Epoch 19, Error: 0.30713622417183406
Epoch 20, Error: 0.2854688668704418
Epoch 21, Error: 0.26550526105195854
Epoch 22, Error: 0.24741230201168804
Epoch 23, Error: 0.2312554434056041
Epoch 24, Error: 0.21691279687874682
Epoch 25, Error: 0.20415457715247617
Validation Accuracy: 0.8958333333333334

Process finished with exit code 0
